"internalModuleName","numberOfAllInternalElements","externalModuleCount","internalElementCount","internalElementsCallingExternalRate","externalModuleExamples","internalElementExamples","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_distribution_for_Typescript.cypher"
"config",12,8,4,33.333333333333336,"@types/pick,dist,node:child_process,@types/globals,esm,@types/process,node,@types/isEqual","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/config/config.ts"".configRouteToBranchRoute,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/config/config.ts"".resolveEntryFiles,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/config/config.ts"".createConfigLoader,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/config/config.ts"".resolveRSCEntryFiles",""
"generate",5,2,4,80,"@types/babel__generator,dist","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen/generate.ts"".generateRoutes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen/generate.ts"".generateFuture,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen/generate.ts"".typesDirectory,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen/generate.ts"".generateServerBuild",""
"stream",4,2,4,100,"@types/stream,@types/buffer","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/stream.ts"".createReadableStreamFromReadable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/stream.ts"".writeReadableStreamToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/stream.ts"".writeAsyncIterableToWritable,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/stream.ts"".readableStreamToString",""
"worker",5,1,4,80,"@cloudflare/workers-types","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-cloudflare/worker.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-cloudflare/worker.ts"".createRequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-cloudflare/worker.ts"".RequestHandler,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-cloudflare/worker.ts"".createPagesFunctionHandler",""
"cookies",6,1,3,50,"dist","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/cookies.ts"".CookieOptions,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/cookies.ts"".Cookie,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/cookies.ts"".createCookie",""
"flatRoutes",13,5,3,23.076923076923077,"@types/path,node:path,node:fs,fs,esm","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-fs-routes/flatRoutes.ts"".flatRoutesUniversal,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-fs-routes/flatRoutes.ts"".isSegmentSeparator,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-fs-routes/flatRoutes.ts"".flatRoutes",""
"profiler",3,5,3,100,"inspector,node:fs,node:path,@types/path,picocolors","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/profiler.ts"".stop,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/profiler.ts"".getSession,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/profiler.ts"".start",""
"react-router-architect",4,4,3,75,"@types/api-gateway-proxy,@architect/functions,@architect/tables,@types/handler","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-architect/server.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-architect/sessions/arcTableSessionStorage.ts"".createArcTableSessionStorage,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-architect/server.ts"".RequestHandler",""
"route-chunks",12,2,3,25,"@types/babel__generator,@babel/lib","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/route-chunks.ts"".getRouteChunkCode,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/route-chunks.ts"".omitChunkedExports,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/route-chunks.ts"".getChunkedExport",""
"sessions",11,1,3,27.272727272727273,"dist","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/sessions.ts"".SessionIdStorageStrategy,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/sessions.ts"".createSessionStorage,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/sessions.ts"".SessionStorage",""
"vite",4,22,3,75,"node,@types/babel__core,dist,rollup,lexer,@types/globals,picocolors,promises,fs","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/rsc/plugin.ts"".reactRouterRSCVitePlugin,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/plugin.ts"".reactRouterVitePlugin,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/vite.ts"".getVite",""
"dev",5,3,2,40,"@types/process,node,picocolors","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/server-runtime/dev.ts"".getBuildTimeHeader,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/dev.ts"".dev",""
"fileStorage",2,4,2,100,"@types/path,promises,@types/buffer,node:fs","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/sessions/fileStorage.ts"".createFileSessionStorage,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-node/sessions/fileStorage.ts"".getFile",""
"node-adapter",2,2,2,100,"node,http","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/node-adapter.ts"".fromNodeRequest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/node-adapter.ts"".NodeRequestHandler",""
"normalizeSlashes",2,2,2,100,"node:path,@types/path","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-fs-routes/normalizeSlashes.ts"".normalizeSlashes,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-remix-routes-option-adapter/normalizeSlashes.ts"".normalizeSlashes",""
"prompts-prompt-base",2,6,2,100,"@types/process,node:process,sisteransi,node:readline,readline,@types/events","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/create-react-router/prompts-prompt-base.ts"".PromptOptions,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/create-react-router/prompts-prompt-base.ts"".Prompt",""
"react-router-express",3,3,2,66.66666666666667,"@types/express,@types/express-serve-static-core,@types/qs","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-express/server.ts"".GetLoadContextFunction,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-express/server.ts"".RequestHandler",""
"styles",4,5,2,50,"@types/process,@types/path,node,@babel/lib,@types/babel__traverse","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/styles.ts"".getStylesForPathname,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/styles.ts"".getCssStringFromViteDevModuleCode",""
"typegen",3,3,2,66.66666666666667,"picocolors,promises,node","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen"".watch,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/typegen"".run",""
"virtual-route-modules",4,3,2,50,"node,@types/babel__generator,lexer","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/rsc/virtual-route-modules.ts"".transformVirtualRouteModules,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/rsc/virtual-route-modules.ts"".parseRouteExports",""
"vite-node",2,3,2,100,"dist,server,node","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/vite-node.ts"".Context,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/vite-node.ts"".createContext",""
"arcTableSessionStorage",1,2,1,100,"@architect/functions,@architect/tables","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-architect/sessions/arcTableSessionStorage.ts"".createArcTableSessionStorage",""
"babel",2,1,1,50,"@types/babel__generator","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/babel.ts"".generate",""
"build",7,1,1,14.285714285714286,"node","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/build.ts"".build",""
"cloudflare",1,3,1,100,"@types/process,cli,node","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/cloudflare-dev-proxy.ts"".cloudflareDevProxyVitePlugin",""
"cloudflare-dev-proxy",1,3,1,100,"@types/process,cli,node","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/cloudflare-dev-proxy.ts"".cloudflareDevProxyVitePlugin",""
"copy-template",2,1,1,50,"node:url","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/create-react-router/copy-template.ts"".copyTemplate",""
"create-react-router",2,2,1,50,"@types/process,node:process","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/create-react-router"".Context",""
"detectPackageManager",1,1,1,100,"@types/process","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/cli/detectPackageManager.ts"".detectPackageManager",""
"fog-of-war",6,1,1,16.666666666666668,"@types/react","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router/lib/dom/ssr/fog-of-war.ts"".useFogOFWarDiscovery",""
"has-dependency",1,1,1,100,"@types/globals","""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.13.0/source/react-router-7.13.0/packages/react-router-dev/vite/has-dependency.ts"".hasDependency",""
