"fullQualifiedTypeName","declaredMethodCount","distinctCalledMethodCount","usageRatio","callerCount","exampleCalledMethods","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",14,4,0.29,1,"advancedTo,unwrapUpperBound,unwrap,unwrapLowerBound",""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,1,0.08,1,"commandName",""
"org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",13,1,0.08,1,"isFactoryHandler",""
"org.axonframework.messaging.eventhandling.annotation.EventHandlingMember",13,1,0.08,1,"eventName",""
"org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember",13,1,0.08,1,"queryName",""
"org.axonframework.messaging.eventstreaming.EventCriterion",12,2,0.17,1,"types,tags",""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",11,6,0.55,1,"supports,handle,sequenceIdentifierFor,supportedEvents,supportsReset",""
"org.axonframework.messaging.queryhandling.QueryBus",11,3,0.27,1,"completeSubscriptionsExceptionally,completeSubscriptions,emitUpdate",""
"org.axonframework.common.configuration.Configuration",10,3,0.3,1,"getOptionalComponent,getComponent",""
"org.axonframework.common.configuration.DecoratorDefinition$CompletedDecoratorDefinition",10,3,0.3,1,"order,decorate,matches",""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",10,2,0.2,1,"unwrap,unwrapLowerBound",""
"org.axonframework.conversion.avro.AvroConverterStrategy",9,5,0.56,1,"convertFromSingleObjectEncoded,applyStrategyConfiguration,convertToSingleObjectEncoded,convertFromGenericRecord,test",""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",9,3,0.33,1,"mergeSegment,splitSegment,releaseSegment",""
"org.axonframework.messaging.eventhandling.processing.streaming.token.WrappedToken",9,1,0.11,1,"advance",""
"org.axonframework.messaging.queryhandling.QueryBus",9,4,0.44,1,"completeSubscriptionsExceptionally,completeSubscriptions,query,emitUpdate",""
"org.axonframework.messaging.queryhandling.QueryBus",9,2,0.22,1,"subscriptionQuery,query",""
"org.axonframework.common.configuration.Configuration",8,3,0.38,1,"getOptionalComponent,getComponent",""
"org.axonframework.common.configuration.Configuration",7,4,0.57,1,"getModuleConfiguration,getOptionalComponent,getComponents",""
"org.axonframework.messaging.eventhandling.processing.streaming.StreamingEventProcessor",7,3,0.43,1,"getTokenStoreIdentifier,processingStatus,maxCapacity",""
"org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder",7,2,0.29,1,"entityEvolver,addConcreteType",""
"org.axonframework.common.configuration.Component",6,1,0.17,1,"resolve",""
"org.axonframework.common.configuration.ComponentRegistry",6,3,0.5,1,"registerComponent,registerDecorator",""
"org.axonframework.common.configuration.Configuration",6,3,0.5,1,"getOptionalComponent,getComponent",""
"org.axonframework.eventsourcing.configuration.EventSourcedEntityModule",6,1,0.17,1,"declarative",""
"org.axonframework.messaging.queryhandling.QueryBus",6,1,0.17,1,"subscribeToUpdates",""
"org.axonframework.messaging.queryhandling.QueryBus",6,1,0.17,1,"subscriptionQuery",""
"org.axonframework.common.configuration.ComponentRegistry",5,2,0.4,1,"registerComponent,registerEnhancer",""
"org.axonframework.common.configuration.ComponentRegistry",5,1,0.2,1,"registerComponent",""
"org.axonframework.messaging.eventhandling.EventHandlingComponent",5,1,0.2,1,"supportedEvents",""
"org.axonframework.conversion.Converter",4,1,0.25,1,"convert",""
"org.axonframework.eventsourcing.eventstore.AppendCondition",4,1,0.25,1,"consistencyMarker",""
"org.axonframework.messaging.commandhandling.CommandHandlingComponent",4,1,0.25,1,"supportedCommands",""
"org.axonframework.messaging.core.conversion.MessageConverter",4,1,0.25,1,"convertPayload",""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule",4,1,0.25,1,"subscribing",""
"org.axonframework.messaging.eventhandling.configuration.EventProcessorModule",4,1,0.25,1,"pooledStreaming",""
